Name,Year_Built,Average_Rent_sf,lon,lat,GrvDemandWeight,GrvDemandWeight_10k
COURTYARD PLAZA,1970,1.36,-122.042696,37.955174,103704,10.370407
COURTYARDS AT 65TH STREET,2004,2.92,-122.292528,37.84646,245927,24.592701
COWELL TERRACE,1988,1.65,-122.003887,37.955331,85073,8.507317
CREEKSIDE,1968,1.86,-122.152354,37.727776,110799,11.079862
CREEKSIDE APARTMENT HOMES,1985,3.32,-122.3098149,37.5737794, , 
CREEKSIDE GLEN,1964,1.81,-122.051949,37.883935,81822,8.182202
CREEKSIDE TERRACE,1962,2.01,-122.049971,37.883426,82655,8.265503
CREEKSIDE TERRACE,1964,1.69,-122.0622735,37.689158,83878,8.387808
CREEKSIDE VILLAGE,1987,2.78,-122.002565,37.5652022,74246,7.424591
CREEKVIEW,1991,1.56,-122.3191315,37.9657428,50823,5.082308
CRESTVIEW,1965,2.51,-122.2845989,37.5287758, , 
CRESTVIEW PINES,1978,1.55,-121.827779,38.011243,25453,2.545272
CRESTVIEW TERRACE,1970,1.92,-122.0552211,37.6394016,87790,8.779044
CROSS POINTE,2003,1.78,-121.7547,37.9651,20918,2.091816
CROSSING AT ARROYO TRAIL (THE),1983,2.24,-121.7885267,37.6791336,45720,4.572003
CROSSROADS,1986,2.32,-121.9594093,37.9516023,56135,5.613496
CROSSROADS VILLAGE,1985,2.03,-121.983719,37.542521,78334,7.833395
CROWN COLONY,1974,2.41,-122.4636377,37.6651828, , 
CRYSTAL SPRINGS TERRACE,1971,2.5,-122.4269285,37.6068226, , 
CYPRESS CREEK,1962,2.09,-122.0539403,37.9081965,100213,10.021343
CYPRESS HOUSE,1964,1.87,-122.088591,37.651707,102341,10.234074
DANVILLE PARK,1963,2.32,-121.9977446,37.8243088,46846,4.684565
DE SABLA,1955,2.63,-122.328901,37.565717, , 
DEL CORONADO,1965,1.92,-122.280764,37.7710791,168409,16.840897
DEL NORTE PLACE,1994,3.02,-122.3190079,37.9267876,103419,10.34185
DEL PRADO,1972,2.5,-121.8859695,37.6680013,61178,6.117769
DELTA PINES,1975,1.18,-121.831948,38.004664,26229,2.622891
DELTA VIEW APARTMENTS,1960,1.65,-121.846793,38.0014589,25732,2.573222
DIABLO OAKS,1979,1.87,-122.054273,37.934402,105783,10.578327
DIABLO POINT,1962,1.94,-122.0524014,37.886509,85121,8.512056
DIABLO VIEW,1984,2.12,-121.9934853,37.9659318,78711,7.871063
DIABLO VILLA,1968,1.72,-122.049495,37.881562,81035,8.103518
DIABLO VISTA,1984,2.17,-121.748852,37.709145,28836,2.883621
DIXON TOWNHOUSE,1964,1.55,-122.049656,37.629671,86963,8.696347
DOMAIN BY ALTA APARTMENTS,2011,3.27,-122.2752646,37.8051765,258113,25.811265
DRIFTWOOD LAGOON APARTMENTS,1990,1.69,-122.253563,37.760721,153934,15.393384
DRY CREEK,1965,2.02,-122.020104,37.606565,77180,7.717978
DUNES,1966,2.32,-122.2488127,37.7542615,143539,14.35392
DURHAM GREEN,1985,2.3,-121.964899,37.5106727,83482,8.34823
EAVES DALY CITY,1974,2.93,-122.4543487,37.6546108, , 
EAVES DUBLIN,1989,2.54,-121.911734,37.729027,68665,6.866489
EAVES FOSTER CITY,1973,3.13,-122.2536199,37.5537044, , 
EAVES FREMONT,1985,3.08,-121.9267409,37.4933847,84589,8.458909
EAVES PACIFICA,1973,2.52,-122.4791068,37.6609627, , 
EAVES PLEASANTON,1988,2.55,-121.8799196,37.6957762,69965,6.996478
EAVES UNION CITY,1973,2.62,-122.0222846,37.5857846,79119,7.911922
